Country	Capital	Population
Uruguay	Montevideo	3432
Uzbekistan	Tashkent	35163
Vanuatu	Port Vila	334
Venezuela	Caracas	28838
Vietnam	Hà Noi	98858
Wallis and Futuna Islands	Matu-Utu	11
Western Sahara	El Aaiún	587
Yemen	Sana'a'	34449
Zambia	Lusaka	20569
Zimbabwe	Harare	16665
